variable,label,type,class,factor_levels,role,block_table,block_models,include_table,include_uv_model,include_mv_model,forced,priority,exclusive_group,blocks_group,mv_order
inv16,Inv 16,categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,low_cyto_risk,cyto_risk_summary,2
del12,Del 12,categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
MECOM_R,MECOM-R,categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
chr3_abn,Other Chromosome 3 abnormalities,categorical,factor,no|yes,NA,cytogenetics,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4
chr3_status_cat,Chromosome 3 alteration type,categorical,factor,Chr3-WT|MECOM-R|atypical MECOM-R|Add(3p)|Add(3q)|Del(3)|Del(3p)|Del(3q)|Del(3q26)|Other t(3p)|Other t(3q),NA,cytogenetics,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,4
chr3_status,Chromosome 3 status,categorical,factor,Chr3-WT|MECOM-R|Chr3-abn,NA,cytogenetics,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4
chr3_status_simple,Chromosome 3 status simplified,categorical,factor,Chr3-WT|Chr3-ALT,NA,cytogenetics,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4
t_8_21,t(8;21),categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,low_cyto_risk,cyto_risk_summary,2
t_15_17,t(15;17),categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
t_11q23,t(11q23),categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
t_9_11,t(9;11),categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
t_6_9,t(6;9),categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
trisomy8,Trisomy 8,categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
trisomy6,Trisomy 6,categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
t_9_22_Ph_pos,t(9;22)Ph+,categorical,factor,no|yes,predictor,cytogenetics,cytogenetics,TRUE,TRUE,TRUE,FALSE,optional,high_cyto_risk,cyto_risk_summary,2
mut_asxl1,ASXL1 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_bcor,BCOR Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_cebpa,CEBPA Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_cebpa_db,CEBPA double Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_dnmt3a,DNMT3a Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_ezh2,EZH2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_flt3,FLT3 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,low,NA,NA,3
mut_flt3_itd,FLT3-ITD Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_flt3_itd_high_ar,FLT3-ITD Mutation with high allelic ratio,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,low,NA,NA,3
mut_flt3_d835,FLT3-TKD Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_gata2,GATA2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_idh,IDH Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,low,NA,NA,3
mut_idh1,IDH1 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_idh2,IDH2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_jak2,JAK2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_kit,KIT Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_kmt2a,KMT2A Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_mll,MLL Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_npm1,NPM1 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_phf6,PHF6 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_ptpn11,PTPN11 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_rad21,RAD21 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_ras,RAS Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,low,NA,NA,3
mut_nras,KRAS Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_kras,NRAS Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_runx1,RUNX1 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_sf3b1,SF3B1 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_smc1a,SMC1A Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_smc3,SMC3 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_srsf2,SRSF2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_stag2,STAG2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_tet2,TET2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_tp53,TP53 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_u2af1,U2AF1 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
mut_wt1,WT1 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,optional,NA,NA,2
mut_zrsr2,ZRSR2 Mutation,categorical,factor,no|yes,predictor,mutations,mutations,TRUE,TRUE,TRUE,FALSE,core,NA,NA,1
